"","LINEUP_SORTED","NUMBER OF GUARDS","OPPONENT POSSESSIONS","CMU POSSESSIONS","LINEUP SECONDS","OPPONENT PTS","CMU PTS","CMU 3PA","CMU FGA","CMU FTA","CMU REBOUNDS","TOTAL REBOUNDS","OPPONENTS","SCORE DIFFERENTIAL WHEN ENTER","QUARTER","NUMBERS","SCORE","LOCATION","PACE","OFFENSIVE RATING","DEFENSIVE RATING","NET RATING","3PA/FGA","TRUE SHOOTING %","TRB%"
"35","ARIAS,AVA CHINTALA,ANISHA GIBBS,SAVANNAH OR,CATHERINE TIMKO,NICOLE",4,75,70,2634,64,67,19,58,13,34,69,"allegheny, allegheny, baldwin wallace, brandeis2, brandeis2, bridgewater st., case western reserve2, chicago, chicago2, chicago2, denison, denison, emory, emory2, la roche, nyu2, penn state-behrend, rochester, washu, washu","-5, 1, -7, -5, 2, 2, -4, 0, -4, 4, -4, 14, -9, -6, 7, -10, 6, 7, 1, 12","1, 2, 3, 2, 3, 1, 1, 1, 1, 3, 2, 4, 3, 1, 2, 1, 4, 1, 1, 3","4 10 22 23 24","73-47, 73-47, 51-70, 62-51, 62-51, 69-58, 70-46, 54-62, 60-57, 60-57, 75-58, 75-58, 67-77, 78-66, 72-47, 52-83, 78-74, 72-55, 86-67, 86-67","AWAY, AWAY, AWAY, AWAY, AWAY, HOME, HOME, AWAY, HOME, HOME, AWAY, AWAY, AWAY, HOME, HOME, AWAY, HOME, AWAY, AWAY, AWAY",66.0592255125285,95.7142857142857,85.3333333333333,10.3809523809524,0.327586206896552,52.5737602008789,49.2753623188406
"36","ARIAS,AVA CHINTALA,ANISHA HEYER,ALLIE NAMBISAN,ISHA OR,CATHERINE",5,5,4,85,5,0,1,4,0,4,8,"allegheny","0","1","5 10 22 23 33","73-47","AWAY",127.058823529412,0,100,-100,0.25,0,50
"37","ARIAS,AVA CHINTALA,ANISHA HEYER,ALLIE OR,CATHERINE PROUTY,ANNA",4,5,4,175,10,3,1,4,2,2,4,"brandeis, nyu2","15, -18","4, 2","22 11 10 5 23","74-67, 52-83","HOME, AWAY",61.7142857142857,75,200,-125,0.25,30.7377049180328,50
"38","ARIAS,AVA CHINTALA,ANISHA HEYER,ALLIE OR,CATHERINE TIMKO,NICOLE",5,7,7,260,0,6,1,8,0,6,13,"emory2, washington & jefferson","-14, 8","2, 4","5 24 22 23 10","78-66, 80-77","HOME, HOME",64.6153846153846,85.7142857142857,0,85.7142857142857,0.125,37.5,46.1538461538462
"39","ARIAS,AVA CHINTALA,ANISHA KATZ,JUSTINE OR,CATHERINE PROUTY,ANNA",4,1,1,35,0,0,0,0,2,1,1,"brandeis","14","4","22 11 10 2 23","74-67","HOME",68.5714285714286,0,0,0,NA,0,100
"40","ARIAS,AVA CHINTALA,ANISHA LAFOND,LIV NAMBISAN,ISHA OR,CATHERINE",4,1,1,43,0,0,1,2,0,2,3,"oberlin","19","2","23 43 22 33 10","81-43","HOME",55.8139534883721,0,0,0,0.5,0,66.6666666666667
"41","ARIAS,AVA CHINTALA,ANISHA LAFOND,LIV NAMBISAN,ISHA TIMKO,NICOLE",4,2,1,77,3,0,1,4,0,3,5,"muskingum","8","2","43 10 23 33 24","91-61","HOME",46.7532467532467,0,150,-150,0.25,0,60
"42","ARIAS,AVA CHINTALA,ANISHA NAMBISAN,ISHA OR,CATHERINE PROUTY,ANNA",4,3,3,85,0,4,1,3,0,3,3,"wis.-eau claire","-1","1","11 23 22 33 10","71-48","HOME",84.7058823529412,133.333333333333,0,133.333333333333,0.333333333333333,66.6666666666667,100
"43","ARIAS,AVA CHINTALA,ANISHA NAMBISAN,ISHA OR,CATHERINE TIMKO,NICOLE",5,7,6,261,1,4,1,6,2,6,11,"bridgewater st., emory2, emory2","3, -5, -5","4, 3, 4","33 23 22 24 10","69-58, 78-66, 78-66","HOME, HOME, HOME",59.7701149425287,66.6666666666667,14.2857142857143,52.3809523809524,0.166666666666667,29.0697674418605,54.5454545454545
"44","ARIAS,AVA CHINTALA,ANISHA NAMBISAN,ISHA PROUTY,ANNA TIMKO,NICOLE",4,1,2,75,3,3,1,1,0,0,2,"nyu2","-18","2","23 11 33 10 24","52-83","AWAY",48,150,300,-150,1,150,0
"45","ARIAS,AVA CHINTALA,ANISHA OR,CATHERINE PEPER,ANYA PROUTY,ANNA",4,3,4,115,2,8,1,4,1,2,4,"brandeis","7","2","11 10 22 23 14","74-67","HOME",73.0434782608696,200,66.6666666666667,133.333333333333,0.25,90.0900900900901,50
"46","ARIAS,AVA CHINTALA,ANISHA OR,CATHERINE PROUTY,ANNA TIMKO,NICOLE",4,6,6,236,4,5,3,6,0,1,6,"chicago, rochester","-2, 2","1, 1","23 11 10 22 24","54-62, 72-55","AWAY, AWAY",61.0169491525424,83.3333333333333,66.6666666666667,16.6666666666667,0.5,41.6666666666667,16.6666666666667
"47","ARIAS,AVA DELMORE,KAYLA GIBBS,SAVANNAH HEYER,ALLIE PEPER,ANYA",4,1,0,26,2,0,0,0,0,0,0,"nyu","-25","2","21 4 14 23 5","62-91","HOME",46.1538461538461,NA,200,NA,NA,NA,NA
"48","ARIAS,AVA DELMORE,KAYLA GIBBS,SAVANNAH OR,CATHERINE TIMKO,NICOLE",4,1,1,34,2,0,0,1,0,0,2,"emory","-2","1","4 23 21 22 24","67-77","AWAY",70.5882352941177,0,200,-200,0,0,0
"49","ARIAS,AVA DELMORE,KAYLA OR,CATHERINE PROUTY,ANNA TIMKO,NICOLE",4,2,4,120,2,5,2,3,2,2,4,"brandeis, nyu","22, -36","3, 3","23 11 22 24 21","74-67, 62-91","HOME, HOME",60,125,100,25,0.666666666666667,64.4329896907217,50
